RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-024301,2013/03/20 00:00:00+00,1923,"O,70 to WEDGEWOOD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,2082
B3-028728,2013/04/01 00:00:00+00,1514,"S 27,NEBR HWY to WOODS BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2083
B3-023540,2013/03/18 00:00:00+00,1319,"N 27,ENTERPRISE to FOLKWAYS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2084
B3-026516,2013/03/15 00:00:00+00,1546,300 S 17 at BIO TEST PLASMA,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2085
B3-025755,2013/03/23 00:00:00+00,1825,"N 27,FAIR to POTTER",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,2086
B3-027123,2013/03/28 00:00:00+00,1640,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2087
B3-024303,2013/03/20 00:00:00+00,1830,"STATE FAIR PARK,CORNHUSKER to THERESA",NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,2088
B3-027844,2013/03/30 00:00:00+00,1606,"S 27,BRADFIELD to MANSE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2089
B3-024929,2013/03/21 00:00:00+00,940,SALT CREEK RDWY at STADIUM,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2090
B3-028731,2013/03/30 00:00:00+00,1300,2920 PINE LAKE at S POINTE MALL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2091
B3-023550,2013/03/18 00:00:00+00,1322,"S 70,NORMAL to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2092
B3-027126,2013/03/28 00:00:00+00,1654,PINE LAKE at BEAVER CREEK LN,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2093
B3-025756,2013/03/23 00:00:00+00,2115,S 70 at TETON,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2094
B3-026517,2013/03/26 00:00:00+00,9999,1010 C at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2095
B3-024941,2013/03/21 00:00:00+00,942,"S 10,A to WASHINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2096
