DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/02 00:00:00+00,21:13:XX,1,1,1,5,1,193
2017/01/02 00:00:00+00,21:30:XX,1,2,1,2,1,194
2017/01/02 00:00:00+00,23:29:XX,1,2,1,1,1,195
2017/01/02 00:00:00+00,23:45:XX,1,1,1,1,1,196
2017/01/02 00:00:00+00,23:52:XX,2,1,1,2,1,197
2017/01/02 00:00:00+00,: :XX,1,1,1,2,1,198
2017/01/03 00:00:00+00,00: :XX,1,1,1,1,1,199
2017/01/03 00:00:00+00,00:02:XX,1,2,1,1,1,200
2017/01/03 00:00:00+00,00:25:XX,1,1,1,2,1,201
2017/01/03 00:00:00+00,00:33:XX,1,2,1,1,1,202
2017/01/03 00:00:00+00,00:56:XX,2,1,1,5,1,203
2017/01/03 00:00:00+00,01:08:XX,6,1,1,2,1,204
2017/01/03 00:00:00+00,01:09:XX,1,1,1,2,1,205
2017/01/03 00:00:00+00,01:15:XX,1,1,1,3,1,206
2017/01/03 00:00:00+00,01:40:XX,1,1,1,5,1,207
2017/01/03 00:00:00+00,01:43:XX,2,1,1,2,1,208
2017/01/03 00:00:00+00,01:45:XX,1,2,1,5,1,209
2017/01/03 00:00:00+00,01:46:XX,1,1,1,1,1,210
2017/01/03 00:00:00+00,02:15:XX,2,1,1,5,1,211
2017/01/03 00:00:00+00,02:19:XX,1,1,1,1,1,212
2017/01/03 00:00:00+00,02:21:XX,5,2,1,2,1,213
2017/01/03 00:00:00+00,02:55:XX,1,1,1,5,1,214
2017/01/03 00:00:00+00,02:57:XX,1,1,1,1,1,215
2017/01/03 00:00:00+00,03:06:XX,1,2,1,1,1,216
2017/01/03 00:00:00+00,03:10:XX,5,1,1,1,1,217
2017/01/03 00:00:00+00,03:18:XX,1,1,2,4,1,218
2017/01/03 00:00:00+00,03:58:XX,1,1,1,1,1,219
2017/01/03 00:00:00+00,07:24:XX,1,1,1,2,1,220
2017/01/03 00:00:00+00,07:33:XX,1,1,1,2,1,221
2017/01/03 00:00:00+00,07:55:XX,1,2,1,2,1,222
2017/01/03 00:00:00+00,07:58:XX,1,1,1,2,1,223
2017/01/03 00:00:00+00,08:09:XX,1,1,1,2,1,224
2017/01/03 00:00:00+00,08:16:XX,1,2,1,2,1,225
2017/01/03 00:00:00+00,08:24:XX,1,1,1,2,1,226
2017/01/03 00:00:00+00,08:27:XX,1,1,1,2,1,227
2017/01/03 00:00:00+00,08:33:XX,1,2,1,2,1,228
2017/01/03 00:00:00+00,08:50:XX,2,2,1,2,1,229
2017/01/03 00:00:00+00,08:59:XX,2,2,1,2,1,230
2017/01/03 00:00:00+00,09:00:XX,1,1,1,2,1,231
2017/01/03 00:00:00+00,09:06:XX,2,1,1,1,1,232
2017/01/03 00:00:00+00,21:28:XX,1,1,1,2,1,233
2017/01/03 00:00:00+00,09:15:XX,1,2,1,2,1,234
2017/01/03 00:00:00+00,09:15:XX,2,2,1,2,1,235
2017/01/03 00:00:00+00,09:22:XX,1,1,1,2,1,236
2017/01/03 00:00:00+00,09:27:XX,1,1,1,2,1,237
2017/01/03 00:00:00+00,09:30:XX,1,1,1,2,1,238
2017/01/03 00:00:00+00,09:31:XX,1,1,1,1,4,239
2017/01/03 00:00:00+00,09:36:XX,1,2,1,2,1,240
2017/01/03 00:00:00+00,09:39:XX,1,1,1,1,1,241
2017/01/03 00:00:00+00,09:46:XX,1,1,1,1,1,242
2017/01/03 00:00:00+00,09:51:XX,1,2,1,1,1,243
2017/01/03 00:00:00+00,09:53:XX,1,1,1,2,1,244
2017/01/03 00:00:00+00,10:01:XX,1,1,1,4,1,245
2017/01/03 00:00:00+00,10:10:XX,4,2,1,2,1,246
2017/01/03 00:00:00+00,10:20:XX,1,1,1,1,1,247
2017/01/03 00:00:00+00,10:24:XX,1,2,1,2,1,248
2017/01/03 00:00:00+00,10:29:XX,1,2,1,2,1,249
2017/01/03 00:00:00+00,10:35:XX,1,1,1,2,1,250
2017/01/03 00:00:00+00,10:35:XX,1,2,1,2,1,251
2017/01/03 00:00:00+00,21:30:XX,1,1,1,1,1,252
2017/01/03 00:00:00+00,21:55:XX,6,2,1,1,1,253
2017/01/03 00:00:00+00,22:05:XX,1,1,1,2,1,254
2017/01/03 00:00:00+00,22:35:XX,3,2,1,2,1,255
2017/01/03 00:00:00+00,22:49:XX,2,1,1,1,1,256
2017/01/03 00:00:00+00,23:01:XX,1,2,1,3,5,257
2017/01/03 00:00:00+00,23:03:XX,1,1,1,1,1,258
2017/01/03 00:00:00+00,23:35:XX,1,1,1,1,1,259
2017/01/03 00:00:00+00,: :XX,1,1,1,1,1,260
2017/01/04 00:00:00+00,00:31:XX,4,2,1,1,1,261
2017/01/04 00:00:00+00,00:35:XX,1,1,1,1,1,262
2017/01/04 00:00:00+00,00:43:XX,2,1,1,1,1,263
2017/01/04 00:00:00+00,00:45:XX,3,2,1,1,1,264
2017/01/04 00:00:00+00,00:53:XX,1,1,1,3,5,265
2017/01/04 00:00:00+00,01:10:XX,6,1,1,1,1,266
2017/01/04 00:00:00+00,01:14:XX,1,2,1,1,1,267
2017/01/04 00:00:00+00,01:20:XX,1,1,1,1,1,268
2017/01/04 00:00:00+00,01:30:XX,6,1,1,1,1,269
2017/01/04 00:00:00+00,01:40:XX,6,1,1,1,1,270
2017/01/04 00:00:00+00,01:40:XX,6,2,1,5,1,271
2017/01/04 00:00:00+00,01:52:XX,1,2,1,1,1,272
2017/01/04 00:00:00+00,01:59:XX,1,2,1,4,5,273
2017/01/04 00:00:00+00,02:05:XX,1,1,1,1,1,274
2017/01/04 00:00:00+00,02:07:XX,1,1,1,1,1,275
2017/01/04 00:00:00+00,02:20:XX,1,2,1,2,1,276
2017/01/04 00:00:00+00,02:23:XX,1,1,1,3,1,277
