RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B6-008413,2016/01/25 06:00:00+00,1725,05:25:00,"P,N 7 to N 8",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19394
B6-009552,2016/02/03 06:00:00+00,845,08:45:00,"N 56,WILSHIRE to X",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,YES,NO,,19395
B6-010552,2016/02/06 06:00:00+00,755,07:55:00,52 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19396
B6-012875,2016/02/14 06:00:00+00,1835,06:35:00,"O,28 to 29",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19397
B6-009329,2016/02/02 06:00:00+00,630,06:30:00,"A,S 40 to S 44",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,,19398
B6-010316,2016/02/05 06:00:00+00,900,09:00:00,8800 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19399
B6-012179,2016/02/12 06:00:00+00,751,07:51:00,"S 70,A to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19400
B6-011729,2016/02/10 06:00:00+00,1548,03:48:00,"HAVELOCK,N 69 to N 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19401
B6-008425,2016/01/29 06:00:00+00,,12:00:00,"JULESBURG DR,SILVERTHORN DR to N 15",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19402
B6-009707,2016/02/03 06:00:00+00,,12:00:00,4600 INNOVATION at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19403
B6-012884,2016/02/14 06:00:00+00,1932,07:32:00,NW 48 at W HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19404
B6-009337,2016/02/02 06:00:00+00,1210,12:10:00,"CAPITOL PKWY W,S FOLSOM to HOMESTEAD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,19405
B6-010920,2016/02/07 06:00:00+00,1522,03:22:00,"S 48,A to C",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,19406
B6-010317,2016/02/05 06:00:00+00,1447,02:47:00,"NEBR HWY,S 27 to SOUTHWOOD DR",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,,19407
B6-011734,2016/02/10 06:00:00+00,1605,04:05:00,"N 12,O to P",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,,19408
B6-012893,2016/02/14 06:00:00+00,2031,08:31:00,"S 22,C to D",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19409
B6-012182,2016/02/12 06:00:00+00,750,07:50:00,"VINE,EL AVADO to MAHONEY",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,,19410
B6-009719,2016/02/03 06:00:00+00,1630,04:30:00,"O,10 to 11",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19411
B6-009347,2016/02/02 06:00:00+00,1300,01:00:00,"W CHADDERTON,BEDFORD to NW 3",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19412
B6-010922,2016/02/07 06:00:00+00,1535,03:35:00,"N 27,APPLE to W",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19413
B6-008432,2016/01/30 06:00:00+00,1319,01:19:00,N 84 at HOLDREGE,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,,19414
B6-012188,2016/02/12 06:00:00+00,800,08:00:00,S 18 at OTOE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19415
B6-011736,2016/02/10 06:00:00+00,,12:00:00,850 Q at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19416
B6-010322,2016/02/05 06:00:00+00,1452,02:52:00,"A,S 19 to S 20",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19417
B6-009396,2016/02/02 06:00:00+00,1500,03:00:00,"S 46,F to RANDOLPH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19418
B6-012919,2016/02/14 06:00:00+00,2245,10:45:00,WARLICK at HOMESTEAD EXP,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,19419
B6-009720,2016/02/03 06:00:00+00,1705,05:05:00,S 27 at CAPITOL PKWY,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,,19420
B6-010923,2016/02/06 06:00:00+00,1510,03:10:00,S 48 at NEBR HWY,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,19421
B6-011781,2016/02/10 06:00:00+00,1800,06:00:00,"S 48,COOPER to PRESCOTT",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19422
B6-008801,2016/01/24 06:00:00+00,1533,03:33:00,"W VAN DORN,S CODDINGTON to SW 16",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,19423
B6-011985,2016/02/11 06:00:00+00,324,03:24:00,1000 S 70 at LINCOLN EAST,INJURY,,1,1,NO,YES,NO,NO,NO,NO,NO,,19424
B6-013080,2016/02/15 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19425
B6-009574,2016/02/03 06:00:00+00,946,09:46:00,"S 70,A to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19426
B6-009960,2016/02/04 06:00:00+00,1250,12:50:00,S 14 at SALT VALLEY VIEW,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19427
B6-011376,2016/02/09 06:00:00+00,1015,10:15:00,"WILDCAT DR,TELLURIDE DR to WHITEHEAD DR",NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,,19428
B6-012351,2016/02/12 06:00:00+00,1630,04:30:00,"N 56,HOLLAND to FLETCHER",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19429
B6-009962,2016/02/04 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19430
B6-008812,2016/01/31 06:00:00+00,1633,04:33:00,"S 70,ALMIRA to NEBR HWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19431
B6-012008,2016/02/11 06:00:00+00,1030,10:30:00,1710 S 70 at LINCOLN SURGICAL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,19432
B6-010558,2016/02/06 06:00:00+00,,12:00:00,"OREGON,NW 6 to SANTE FE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19433
B6-011379,2016/02/09 06:00:00+00,1030,10:30:00,N 48 at HOLDREGE,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19434
B6-012362,2016/02/12 06:00:00+00,1702,05:02:00,"N 27,W to W",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19435
B6-009974,2016/02/04 06:00:00+00,,12:00:00,233 N 48 at SUPER SAVER,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19436
B6-010564,2016/02/05 06:00:00+00,,12:00:00,5625 S 88 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19437
B6-012373,2016/02/12 06:00:00+00,1715,05:15:00,"SALTILLO,S 14 to S 25",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,YES,NO,,19438
B6-011404,2016/02/09 06:00:00+00,1202,12:02:00,S 32 at PINE LAKE,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,19439
B6-008821,2016/01/31 06:00:00+00,1711,05:11:00,"PINE LAKE,S 56 to S 59 CR",INJURY,OTHER,1,2,NO,NO,YES,NO,NO,NO,NO,,19440
B6-012376,2016/02/12 06:00:00+00,1726,05:26:00,"N 27,Q to R",INJURY,DRIVEWAY,2,4,NO,NO,NO,NO,NO,YES,NO,,19441
B6-010592,2016/02/07 06:00:00+00,1108,11:08:00,S 9 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19442
B6-008868,2016/01/31 06:00:00+00,2023,08:23:00,"W CORNHUSKER,NW 8 to NW 9",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,19443
B6-011406,2016/02/09 06:00:00+00,1209,12:09:00,S 52 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19444
B6-009975,2016/02/04 06:00:00+00,1335,01:35:00,N 23 at Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19445
B6-012379,2016/02/12 06:00:00+00,1724,05:24:00,"6845 S 27,SHOPKO to PARKING LOT",NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,,19446
B6-011413,2016/02/09 06:00:00+00,1243,12:43:00,"S 9,PLUM to SOUTH",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,19447
B6-009981,2016/02/04 06:00:00+00,1405,02:05:00,S 27 at NEBR HWY,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,,19448
B6-008875,2016/01/30 06:00:00+00,,12:00:00,NW 49 at W WINNERS,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19449
B6-012385,2016/02/12 06:00:00+00,,12:00:00,"ORCHARD,N 51 to N 52",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19450
B6-011415,2016/02/09 06:00:00+00,1125,11:25:00,2930 S 37 at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,,19451
B6-009986,2016/02/04 06:00:00+00,,12:00:00,"S 48,A to S COTNER",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,19452
B6-009990,2016/02/03 06:00:00+00,,12:00:00,"O,10 to 11",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19453
B6-011417,2016/02/09 06:00:00+00,1242,12:42:00,N 20 & N 21 at O & P,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,,19454
B6-012402,2016/02/12 06:00:00+00,1908,07:08:00,"O,70 to WEDGEWOOD",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,19455
B6-008882,2016/01/31 06:00:00+00,,12:00:00,"KIMCO DR,KIMARRA to N 27 ACCESS",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19456
B6-012428,2016/02/12 06:00:00+00,2100,09:00:00,VAN DORN at SHERIDAN,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19457
B6-011420,2016/02/09 06:00:00+00,1305,01:05:00,"N 11,CORNHUSKER to SAUNDERS",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,,19458
B6-009997,2016/02/04 06:00:00+00,1451,02:51:00,N 70 at WALKER,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19459
B6-008957,2016/02/01 06:00:00+00,622,06:22:00,"ORCHARD,N 30 to N 32",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19460
B6-012504,2016/02/13 06:00:00+00,319,03:19:00,"N 42,W to X",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,,19461
B6-010018,2016/02/04 06:00:00+00,1615,04:15:00,"IDYLWILD,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19462
B6-011115,2016/02/08 06:00:00+00,,12:00:00,"S 34,SEWELL to SOUTH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19463
B6-013048,2016/02/15 06:00:00+00,1454,02:54:00,"VALLEY,BRYSON to S 48",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19464
B6-008734,2016/01/29 06:00:00+00,,12:00:00,4700 DUDLEY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19465
B6-009875,2016/02/04 06:00:00+00,758,07:58:00,MOHAVE DR at ANDY DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19466
B6-011933,2016/02/11 06:00:00+00,1030,10:30:00,"SOUTH,S 48 to S 49",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,,19467
B6-010391,2016/02/05 06:00:00+00,1754,05:54:00,"E CHERRYWOOD,BEECHWOOD to S CHERRYWOOD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,19468
B6-009554,2016/02/03 06:00:00+00,845,08:45:00,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19469
B6-011333,2016/02/09 06:00:00+00,650,06:50:00,"S 42,N to O",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19470
B6-012302,2016/02/12 06:00:00+00,1410,02:10:00,"OLD CHENEY,S 82 to S 84",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19471
B6-008743,2016/01/31 06:00:00+00,,12:00:00,"HUNTINGTON,N 46 to N 47",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19472
B6-009880,2016/02/04 06:00:00+00,,12:00:00,"SUNRISE,EASTRIDGE to MARGO",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19473
B6-013057,2016/02/15 06:00:00+00,1510,03:10:00,"N 70,AMMON to CLEVELAND",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,19474
B6-011784,2016/02/10 06:00:00+00,1815,06:15:00,"MADISON,N 54 to N 56",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19475
B6-011937,2016/02/11 06:00:00+00,1054,10:54:00,"S 84,ROCKLEDGE to VAN DORN",INJURY,HEAD ON,2,1,NO,NO,NO,NO,NO,NO,NO,,19476
B6-011337,2016/02/09 06:00:00+00,740,07:40:00,N 27 at T,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19477
B6-010405,2016/02/05 06:00:00+00,1800,06:00:00,2035 N 63 at DROP OFF LANE,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,,19478
B6-009559,2016/02/03 06:00:00+00,905,09:05:00,"SUPERIOR,N 19 to N 20",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19479
B6-011944,2016/02/11 06:00:00+00,1136,11:36:00,"S 14,GARFIELD to SUMNER",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19480
B6-013059,2016/02/15 06:00:00+00,1516,03:16:00,S 27 at SOUTH,INJURY,RIGHT ANGLE,3,3,NO,NO,NO,NO,NO,YES,NO,,19481
B6-012309,2016/02/12 06:00:00+00,1435,02:35:00,"N 9,R to S",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19482
B6-008762,2016/01/31 06:00:00+00,1208,12:08:00,N 30 at APPLE,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19483
B6-010414,2016/02/05 06:00:00+00,,12:00:00,"C,S 18 to S 19",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19484
B6-009882,2016/02/04 06:00:00+00,832,08:32:00,S 56 at VAN DORN,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19485
B6-011342,2016/02/09 06:00:00+00,800,08:00:00,S 3 at GARFIELD,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,19486
B6-009560,2016/02/03 06:00:00+00,910,09:10:00,"VINE,N ANTELOPE VALL to N 21",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19487
B6-008763,2016/01/31 06:00:00+00,1218,12:18:00,VINE at N ANTELOPE VALL,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19488
B6-012312,2016/02/12 06:00:00+00,1429,02:29:00,"N 27,CLINTON to HOLDREGE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19489
B6-013060,2016/02/15 06:00:00+00,1517,03:17:00,"S 48,J to L",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19490
B6-009885,2016/02/02 06:00:00+00,,12:00:00,"WALKER,N 67 to N COTNER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19491
B6-010426,2016/02/05 06:00:00+00,1958,07:58:00,"S 56,GLADE to NORMAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19492
B6-011947,2016/02/11 06:00:00+00,1124,11:24:00,LASALLE at ELKCREST,NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19493
B6-008790,2016/01/31 06:00:00+00,1431,02:31:00,"BEL RIDGE,DODGE to SUPERIOR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,19494
B6-011345,2016/02/09 06:00:00+00,820,08:20:00,N 54 at MADISON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19495
B6-009561,2016/02/03 06:00:00+00,705,07:05:00,"HAVELOCK,CORNHUSKER to TOUZALIN",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,19496
B6-013064,2016/02/15 06:00:00+00,1524,03:24:00,S 27 at SOUTH,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,19497
B6-010467,2016/02/05 06:00:00+00,,12:00:00,"ORCHARD,IDYLWILD to N 34",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19498
B6-012323,2016/02/12 06:00:00+00,1500,03:00:00,"O,26 to 27",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19499
B6-009936,2016/02/04 06:00:00+00,1030,10:30:00,"BROWNING,S 46 to E DEAD END",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,YES,,19500
B6-011357,2016/02/09 06:00:00+00,,12:00:00,"S 77,JASON DR to BRUNSWICK",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,19501
B6-013071,2016/02/15 06:00:00+00,1540,03:40:00,"S COTNER,A to S 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19502
B6-008792,2016/01/31 06:00:00+00,1430,02:30:00,"B,S 13 to S 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,19503
B6-011958,2016/02/11 06:00:00+00,1224,12:24:00,"N 33,CORNHUSKER to MADISON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19504
B6-010547,2016/02/06 06:00:00+00,734,07:34:00,"W O,I 80 to W 40",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19505
B6-016014,2016/02/25 06:00:00+00,230,02:30:00,"BURNHAM,S 14 to S 15",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,19506
B6-008555,2016/01/30 06:00:00+00,1917,07:17:00,"N 14,HUMPHREY to ALVO RD",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19507
B6-016984,2016/02/27 06:00:00+00,2325,11:25:00,S 10 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19508
B6-012983,2016/02/15 06:00:00+00,900,09:00:00,"W CRAW,W HUGHES to W KINGSLEY",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,19509
B6-012270,2016/02/12 06:00:00+00,1215,12:15:00,N 33 at FAIR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19510
B6-009473,2016/02/02 06:00:00+00,2235,10:35:00,N 27 at KING LN,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,,19511
B6-009802,2016/02/03 06:00:00+00,2335,11:35:00,"CAPITOL PKWY,E to S 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19512
B6-011794,2016/02/10 06:00:00+00,1843,06:43:00,"CARNELIAN,BRISTOLWOOD LN to S 32",INJURY,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,,19513
B6-011132,2016/02/08 06:00:00+00,1215,12:15:00,FLETCHER at N 28,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19514
B6-008606,2016/01/30 06:00:00+00,2152,09:52:00,N 56 at HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19515
B6-010369,2016/02/05 06:00:00+00,1642,04:42:00,"I 80,N 27 to CITY LIMITS EAST",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,19516
B6-012277,2016/02/12 06:00:00+00,1252,12:52:00,S 33 at RANDOLPH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19517
B6-009509,2016/02/03 06:00:00+00,230,02:30:00,S 40 at SHERIDAN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19518
B6-012989,2016/02/15 06:00:00+00,936,09:36:00,S 48 at MEREDETH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,19519
B6-009855,2016/02/04 06:00:00+00,515,05:15:00,"S 6,J to L",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,,19520
B6-011805,2016/02/10 06:00:00+00,,12:00:00,8800 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19521
B6-010371,2016/02/05 06:00:00+00,1645,04:45:00,S 18 at A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,19522
B6-008612,2016/01/30 06:00:00+00,2203,10:03:00,"O,18 to 19",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,19523
B6-011150,2016/02/08 06:00:00+00,1335,01:35:00,N 60 at JUDSON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19524
B6-009530,2016/02/03 06:00:00+00,640,06:40:00,HOLDREGE at N COTNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19525
B6-013003,2016/02/10 06:00:00+00,,12:00:00,", to",NON-INJ H&R,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,,19526
B6-012286,2016/02/12 06:00:00+00,1315,01:15:00,"N 27,S to T",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19527
B6-009863,2016/02/04 06:00:00+00,650,06:50:00,W CORNHUSKER at N CHESTER,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,19528
B6-011823,2016/02/10 06:00:00+00,999,10:39:00,PINE LAKE at S 14,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,19529
B6-008614,2016/01/30 06:00:00+00,2206,10:06:00,S 84 at A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,19530
B6-010372,2016/02/05 06:00:00+00,1645,04:45:00,"T,N 28 to N 30",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,19531
B6-011160,2016/02/08 06:00:00+00,1410,02:10:00,S 27 at OLD CHENEY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,19532
B6-013004,2016/02/15 06:00:00+00,,12:00:00,"6800 S 70,HOME DEPOT to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19533
B6-009533,2016/02/03 06:00:00+00,701,07:01:00,"N 56,COLBY to LEXINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,YES,,19534
B6-010375,2016/02/05 06:00:00+00,1655,04:55:00,S 13 at ARAPAHOE,INJURY,TURNING,3,3,NO,NO,NO,NO,NO,YES,NO,,19535
B6-012287,2016/02/12 06:00:00+00,1300,01:00:00,"SUPERIOR,N 33 to N 40",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,19536
B6-011828,2016/02/10 06:00:00+00,2120,09:20:00,S 21 at K,INJURY,RIGHT ANGLE,2,4,NO,NO,NO,NO,NO,NO,NO,,19537
B6-008640,2016/01/31 06:00:00+00,8,12:08:00,S 70 at A,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,,19538
B6-013005,2016/02/14 06:00:00+00,,12:00:00,"W LAKESHORE,W LAKESIDE to W LAKESHORE CT",NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,19539
B6-009866,2016/02/04 06:00:00+00,720,07:20:00,"S 14,K to LINCOLN MALL",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,19540
B6-011181,2016/02/08 06:00:00+00,1450,02:50:00,2241 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,19541
B6-012288,2016/02/12 06:00:00+00,,12:00:00,"O,29 to 30",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19542
B6-010382,2016/02/05 06:00:00+00,1727,05:27:00,S 27 at STOCKWELL,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,19543
B6-009542,2016/02/03 06:00:00+00,800,08:00:00,N 56 at ADAMS,INJURY,RIGHT ANGLE,4,3,NO,NO,NO,NO,NO,YES,NO,,19544
B6-008650,2016/01/31 06:00:00+00,,12:00:00,"N 10,O to P",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,19545
B6-013026,2016/02/15 06:00:00+00,1248,12:48:00,"S 33,LOVELAND to PIONEERS",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,19546
B6-011850,2016/02/10 06:00:00+00,2334,11:34:00,"ADAMS,N 64 to N 65",INJURY,HEAD ON,2,3,NO,NO,NO,NO,NO,NO,NO,,19547
B6-009870,2016/02/04 06:00:00+00,751,07:51:00,"S 84,KATHY to MANDARIN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,19548
B6-008677,2016/01/31 06:00:00+00,210,02:10:00,S 33 at NEBR HWY,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,19549
B6-011184,2016/02/08 06:00:00+00,1527,03:27:00,"S 48,OLD CHENEY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,19550
B6-013035,2016/02/15 06:00:00+00,1353,01:53:00,S 17 at K,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,,19551
